25.03,289,CT25664AA667,1009150,CRUCIAL MEM 2GB DDR2 667 UDIMM,CRUCIAL
518.71,1,L9F18LT,3055605,HP 4002.5 SFF G3250 4GB 500GB W8pro,
24.86,36,PT-90,1188574,BROTHER PT-90 P-TOUCH ETIQUETADORA,BROTHER
792.75,3,J2M16LT,2780861,HP 440 G2 I5 4GB 750GB 14in W7&8P,
82.70,94,E1916HF,3064730,DELL 18.5IN Entry Monitor W/VGA & DP Ports 1366x768 60Hz 16.7Million,DELL
24.69,78,CT25664AC667,1093700,CRUCIAL MEM 2GB DDR2 667 SODIMM,CRUCIAL
832.29,1,MD101CI/A,2309085,APPLE MBP 13.3 2.5 2X2GB 500 SD,APPLE
54.21,63,89-206-EU4300,2783506,"ECS M/B INTEL B85H3-M 4xDDR3 S/V/L MATX 1150, 4 DIMMs 1600MHZ, VGA + DVI + HDMI, USB3.0, SATA6G, Gigalan, 2-WAY CROSSFIREX, 1 PCI, 1 PCIE X16 ...",ECS
285.91,1,LF19NEBHBNM/ZA,2605529,"SAMSUNG MONITOR 19IN 1280x1024 CLOUD DISPLAY NC19 / Main Specs19.0"" / 1280x1024 / 250cd / 170° x 160° / D-Sub . DVI . USBx4 / Swivel . Tilt . ...",SAMSUNG
28.23,16,H3S-00003,2490311,MICROSOFT Sculpt Comfort Mouse Win7/8 Bluetooth EN/XC/XX AMER Hdwr Black,MICROSOFT
116.73,212,CZ181A,2556219,HP LJ Pro MFP M127fn Printer:LA,
271.98,6,9779B001,2894975,CANON Powershot SX 530HS,CANON
211.16,10,748920-B21,2734912,HPE MS WS12 R2 Fndn ROK E/F/I/G/S SW,HPE
182.76,4,P2414H,2566134,DELL Monitor Dell 24 inch P2414H,DELL
41.84,170,HDWD105XZSTA,3081447,"TOSHIBA Desktop Internal 3.5"" P300 HARD DRIVE - 500GB- 72''RMP - 64MB",TOSHIBA
82.32,6,9538B004,3050847,CANON MAXIFY MB2010,CANON
4.92,315,DTIG4/16GB,2504813,KINGSTON 16GB USB 3.0 DataTraveler I G4,KINGSTON
734.00,66,CQ891A,2139695,HP Designjet T120 24-in ePrinter,
80.63,48,SHFS37A/240G,2685472,KINGSTON 240GB SSD Hyper X Fury SATA 3 7mm W/ADAPTER,KINGSTON
235.43,33,MFC-J6720DW,2586831,"BROTHER MFC Ink Jet, Impresión-Escaner-Copia (platina) A3",BROTHER
68.25,152,WD20EZRZ,3017536,WESTERN DIGITAL 2TB Blue 64MB 3.5IN SATA 6GB/S 5400RPM,WESTERN DIGITAL
94.36,57,DS620,2503067,BROTHER USB-powered portable scanner,BROTHER
652.30,16,748921-B21,2688761,HPE MS WS12 R2 Std ROK E/F/I/G/S SW,HPE
160.52,72,DCPL2540DW,2841265,BROTHER Laser printer DCP-L2540DW,BROTHER
88.32,598,VA2261-2,3017227,"VIEWSONIC VA2261-2 21.5IN 1920x1080, DVI/VGA/VESA 5ms, 200 nits, CR 600:1",VIEWSONIC
439.44,2,K8P08LA,3008729,HP PenN3700 4GB 500GB 11.6HD W10,HP
3273.00,6,755262-B21,2738118,HPE HP DL360G9 E5-2630V3(1/2) 16GB(1/12) (0/8)-SAS-2.5-HP P440-2G 1U 3/3/3YR,HPE
141.15,523,FQC-08981,3018072,MICROSOFT Win Pro 10 64Bit Spanish Latam 1pk DSP OEI DVD,MICROSOFT
295.45,148,C5F94A,3030449,HP LASERJET PRO M402DN PRINTER,HP
185.48,114,CF547A,2682318,HP Color LaserJet Pro MFP M176n Printer,
224.25,15,720478-B21,2738017,HPE HP 500W FS PLAT HOT PLUG POWER SUPPLY KIT,HPE
50.92,2,WD10JPVX,2408206,WESTERN DIGITAL WD Mobile 1TB 5400RPM SATA 6Gb/s 9.5mm,WESTERN DIGITAL
62.36,152,B85M-E45,3047361,MSI TARJETA MADRE B85M-E45,
52.04,2,LS1203-7AZU0100SR,1009371,ZEBRA LS1203 LASER SCANNER USB BLACK USB KIT S,ZEBRA
219.54,156,CF485A,2740815,HP LASERJET PRO MONO MFP M225DW,
33.68,4,DWA-582,2713177,D-LINK DWA-582 WIRELESS AC1200 PCIE DESKTOP ADAPTER,D-LINK
710.55,107,LH40DBEPLGA/GO,3017880,SAMSUNG MON 40IN DB40E USO 16/7 FULL HD1920x1080/HDMI-VGA-DVI-RJ45/350Nit/RJ45/PLAYER,SAMSUNG
554.04,28,8595B003,2437144,CANON T5i Whit lens kit EF-S 18-55mm IS STM,CANON
111.85,58,WD30EFRX,2043107,WESTERN DIGITAL 3TB RED 64MB 3.5IN SATA 6GB/s IntelliPowerRPM,WESTERN DIGITAL
253.91,4,659339-B21,1903391,HPE HP 2TB 6G SATA 7.2K 3.5INCH NHS MDL HDD,HPE
65.36,420,CZ172A,2725992,HP LaserJet Pro MFP M125a Printer,
285.47,8,CR770A,2422118,HP OJ Pro 276dw MFP Prntr:CL-es Mult,
352.57,9,9543B001,2774080,CANON Powershot SX 60 HS,CANON
16.39,370,H4F03AA,2995180,HP HDMI to VGA Adapter,HP
1211.69,1,K4L88LT,2827431,HP 640 I7 4GB 500GB 14in W7&8P,
96.46,64,B85-G43 GAMING,3047360,MSI TARJETA MADRE B85-G43 GAMING,
4.78,154,DTMCK/16GB,1953718,KINGSTON 16GB USB 2.0 Hi-Speed DataTraveler Micro,KINGSTON
48.15,44,SHFS37A/120G,2685471,KINGSTON 120GB SSD Hyper X Fury SATA 3 7mm W/ADAPTER,KINGSTON
722.05,1,35S0404,2353060,LEXMARK MS610DN MONO LASER PRINTER,
69.71,3,HDTD210XS3E1,3081446,TOSHIBA DISCO DURO EXTERNO CANVIO SLIM II SILVER,TOSHIBA
9.78,31,SD10VG2/32GB,3003405,KINGSTON 32GB SDHC Class10 UHS-I 45MB/s Read,KINGSTON
204.40,4,32LX330C,2988353,LG 32LX330C 32IN LED COMMERCIAL TELEVISION (FOR BUSINESSES AND HOSPITALITY ),LG
593.37,1,L4A72LT,2952698,HP 260G1 DM I54210U 500GB4GB W7&8P,HP
38.07,67,HX318C10FB/8,2597004,KINGSTON 8GB DDR3- 1866MHz Non-ECC CL 10 DIMM Fury Black Series,KINGSTON
337.76,5,PJD5255,2948573,VIEWSONIC PJD5255 XGA DLP projector 1024 x 768 3.00 lumens with a 20.000:1contrast ratio at DynamicEco mode I/O connectivity includes HDMI 2 x...,VIEWSONIC
181.87,121,MFCL2700DW,2758662,BROTHER MFCL2700DW Duplex Wireless Mono Laser Printer,BROTHER
353.06,21,MFC-9330CDW,2402611,"BROTHER Flatbed/ADF kleur A4 ledprinter/copier/scanner/fax/PC-fax, 22/22 ppm (zwart-wit/kleur), 2400 dpi, 192MB, automatisch duplex print, 250...",BROTHER
16.82,92,DTIG4/64GB,2504815,KINGSTON 64GB USB 3.0 DataTraveler I G4,KINGSTON
728.58,7,781518-B21,2903789,HPE HP 1.2TB 12G SAS 10K 2.5in SC ENT HDD,HPE
165.58,80,CN551A,1852852,HP MOBILE PRINTER OFFICEJET 100,HP
386.42,5,765464-B21,2951079,HPE 1TB 12G SAS 7.2K 2.5IN 512E SC HDD,HPE
155.82,5,659337-B21,1903390,HPE HP 1TB 6G SATA 7.2K 3.5INCH NHS MDL HDD,HPE
3.77,1224,THN-M301R0080U2,3081450,TOSHIBA TARJETA MICRO SD 8GB CLASS 10 WITH ADAPTER ( 40MB/SREAD),TOSHIBA
339.00,15,35S0264,2733036,LEXMARK MS415DN MONO LASER PRINTER,
59.76,24,726537-B21,2738038,HPE HP 9.5MM SATA DVD RW JB G9 KIT,HPE
27.62,1,DAP-1360,1230707,D-LINK DAP-1360 WIRELESS N ACCESS POINT,D-LINK
404.00,6,655710-B21,1891332,HPE HP 1TB 6G SATA 7.2 2.5INCH SC MDL HDD,HPE
1939.81,7,MF841CI/A,2901319,APPLE MBP 13.3/2.9GHZ/8GB/512GB,APPLE
181.55,54,CV136A,2422119,HP OJ Pro 251dw Printer:CL-es,
101.69,9,HLL2320D,2841266,BROTHER Laser printer HL-L2320D,BROTHER
4.67,62,SD4/16GB,1014349,KINGSTON 16GB SDHC CARD CLASS 4,KINGSTON
535.08,13,MFC-L8850CDW,2701378,BROTHER MFC-L8850CDW,BROTHER
1728.00,32,CQ893A,2139696,HP Designjet T520 36-in ePrinter,
1305.96,1,WS-C2960X-24TS-L,2445007,"CISCO Catalyst 2960-X 24 GigE, 4 x 1G SFP",CISCO
224.21,5,3225V_DNIH,2995141,XEROX WC 3225V_DNIH,XEROX
157.00,20,PT-E550WVP,2736122,BROTHER Rotuladora conexión PC y WiFi,BROTHER
1612.27,1,MF840CI/A,2901318,APPLE MBP 13.3/2.7GHZ/8GB/256GB,APPLE
165.39,11,658071-B21,1903386,HPE HP 500GB 6G SATA 7.2K 3.5INCH HS SC MDL HDD,HPE
40.52,40,89-206-KI1100,3047876,ECS A68F2P-M4 MATX HDMI VGA (FM2+) 2 DIMM DDR3 - PCI EXPRESS X16 - PCI EXPRESS X1 - 4 PORT SATA - 6 CHANNEL HD AUDIO - GIGALAN (WAKE ON-LAN) -...,ECS
700.12,20,B11B222201,2736514,EPSON Escaner WorkForce DS-860,EPSON
278.24,22,JG924A,2771044,HPE HP 1920-24G SWITCH (10/100/1000),HPE
81.57,22,SKC300S3B7A/120G,2413316,KINGSTON 120GB SSDNow KC300 SSD SATA 3 2.5 (7mm height) Upgrade Bundle Kit,KINGSTON
80.49,14,9623B003,2849628,CANON SCAN LIDE 220,
151.11,20,A7F65A,2670679,HP Officejet Pro 8620 e-All-in-One,HP
684.48,6,V11H690020,3027803,EPSON Proyector PowerLite W29 3000 lumenes; Resolucion WXGA; 10000:1 Contraste: RJ45,EPSON
179.61,6,BX80662I56400,2978869,INTEL CORE i5-6400 2.70GHZ SKT1151 6MB CACHE BOXED,INTEL
77.46,1,WD1003FZEX,2490292,WESTERN DIGITAL 1TB Black 64MB 3.5IN SATA 6GB/s 7200RPM,WESTERN DIGITAL
68.88,27,5252B007,1880921,CANON Multifunctional MF 3010,CANON
1250.69,8,J9727A,2373562,HPE HP 2920-24G-PoE+ SWITCH (10/100/1000),HPE
83.68,8,QL-700,1902631,BROTHER QL-700 Labeler,BROTHER
790.36,12,B5L25A,2891759,HP LASERJET ENT CLR SFP M553DN,
264.60,21,658079-B21,1903387,HPE HP 2TB 6G SATA 7.2K 3.5INCH HS SC MDL HDD,HPE
803.39,1,755384-B21,2738124,HPE HP DL360G9 E5-2630v3 CPU KIT,HPE
255.49,6,GTX 960 GAMING 4G,3047401,MSI TARJETA VIDEO GTX 960 GAMING 4G,
360.24,11,748919-B21,2734911,HPE MS WS12 R2 Ess ROK E/F/I/G/S SW,HPE
991.28,4,35S5728,3101235,LEXMARK MX511DE MONO MULTIFUNCION LASER,
484.93,78,F2A69A,3023093,HP LASERJET ENTERPRISE M506DN,HP
124.00,136,BR900GI,1234197,"APC - SCHNEIDER Power Saving Back-UPS Pro 900, 230V",APC - SCHNEIDER
1146.74,3,20CL0001CL,2891723,LENOVO Thinkpad X250 CoRe i5-5300U 4G 256 W8PD,LENOVO
139.22,1,DS4308-SR7U2100SGW,2748737,MOTOROLA DS4308 KIT SCANNER STANDUSB CABLE,MOTOROLA
201.47,2,9337B001,2685742,CANON POWERSHOT D30 BLUE,CANON
315.11,3,6500V_NC,1543033,XEROX IMPRESORA PHASER 6500V_NC,XEROX
1427.96,101,20BU0001CL,2960550,LENOVO NoteBook TP T450 8G 256 W8PD,LENOVO
92.15,34,WDBBKD0020BBK-NESN,3074968,"WESTERN DIGITAL MY PASSPORT ULTRA 2TB 2.5"" USB 3.0 BLACK",WESTERN DIGITAL
207.73,2,WD4003FZEX,2490295,WESTERN DIGITAL 4TB Black 64MB 3.5IN SATA 6GB/s 7200RPM,WESTERN DIGITAL
353.70,2,B3Q11A,2891809,HP LASERJET PRO CLR MFP M277DW,
227.54,25,C11CC83303,2964084,EPSON Multifucional de Tanque de Tinta M200,EPSON
28.45,53,KTH-X3BS/4G,2360441,"KINGSTON HP/Compaq Notebook Memory DDR3 4GB 1333MHz SODIMM Single Rank HP/Compaq: Elite 8200 Ultra-slim Desktop, EliteBook 2170p, EliteBook 25...",KINGSTON
