767.00,1,P3D68LT,NT955HPQ07,"HP Probook 440 G2 Core i5-5200U 4GB/1TB 14"" W10 Pro/W7 Pro",HP
784.00,20,T6F02LT,NT004HPQ46,"HP Probook 640 G2 Core i5-6200U 4GB/500GB 14"" DVDRW W10 Pro",HP
788.80,20,Y4A95LA,NT004HPQ85,"HP Probook 650 G2 Core i5-6200U 4GB/500GB DVD 15.6"" W10P / W7P",HP
827.80,20,PS463U-04T02U,NT408TOS91,Toshiba Tecra A40-C1440LA 14in CI5-6200U 8GB 500GB W10PRO,Toshiba
856.70,12,V1H36LT,NT004HPQ57,"HP Elitebook 840 G3 Core i5-6200U 4GB/500GB 14"" W10 Pro / W7",HP
873.00,20,20FMA059CL,NT010LEN34,"Len NTB T460 Ci5-6200U 4GB 1TB Windows 10 Pro 14""",Lenovo
876.60,20,04FWY,NT955DEL23,"DELL LATITUDE E5470 i5-6300U 14"" 4GB 1TB NODVD W7 PRO",Dell
882.90,16,V7R98LA,NT714HPR26,"HP 15-ax001la Core i5-633HQ 8GB/1TB 15.6"" W10 Home",HP
891.70,1,PSKWSU-09HNC2,NT408TOS62,"TOSHIBA L55-C5335S Ci5-5200U 15.6"" 6GB 1TB NVIDIA 2GB W10 SL",Toshiba
895.00,20,20F5A0FFCL,NT010LEN39,"Len NTB X260 Ci5-6200U 4GB 1TB Win10 Pro 12.5""",Lenovo
912.00,20,V1G86LT,NT004HPQ59,"HP Elitebook 820 G3 Core i5-6200U 4GB/500GB 12.5"" W10 P / W7",HP
938.90,10,PT363U-0SC03W,NT408TOS89,Toshiba Portege A30-C1340LA 13.3in CI5-6200U 8GB 500GB W10P,Toshiba
939.50,20,L547i5Ss41TW7P3W-VGA,NT955DEL24,"DELL LATITUDE E5470 i5-6300U 14"" 4GB 1TB VGA 2GB W7 PRO",Dell
1009.00,4,V1H37LT,NT714HPQ56,HP EliteBook 840 G3 LCD 14 LED Ci5-6300U 4GB 500GB W10P,HP
1039.60,9,V1H33LT,NT004HPQ51,"HP Elitebook 820 G3 Core i5-6300U 4GB/500GB 12.5"" W10 Pro",HP
1046.30,5,3R06K,NT011DEL86,"DELL LATITUDE E7470 I5-6300U 14"" 8GB 256GB SSD WIN 7 PRO",Dell
1083.50,18,T6F03LT,NT004HPQ50,"HP Probook 640 G2 Core i7-6600U 4GB/500GB 14"" W10 Pro / W7 P",HP
1114.20,20,PT463U-07P01Y,NT408TOS85,Toshiba Tecra Z40-C1410LA 14in CI5-6300U 8GB 500GB W10PRO,Toshiba
1164.90,20,20F5A0FBCL,NT010LEN40,"Len NTB X260 Ci7-6600U 8GB 1TB Win 10 Pro 12.5""",Lenovo
1170.30,5,20FAA06BCL,NT010LEN36,"Len NTB T460s Ci5-6200U 4GB 256GB SSD Win 10 Pro 14""",Lenovo
1172.70,10,20F5A0FCCL,NT010LEN41,"Len NTB X260 Ci7-6600U 8GB 256GB SSD Win10 Pro 12.5""",Lenovo
1202.00,3,L4B13LT,NT002HPQ99,"HP Elitebook 840 G2 Core i7-5600U 4GB/500GB 14"" W7Pro",HP
1207.90,20,V1H34LT,NT004HPQ60,"HP Elitebook 820 G3 Core i7-6600U 4GB/500GB 12.5"" W10P W7P",HP
1292.60,20,W8K98LT,NT004HPQ82,"HP Elitebook 1030 G1 Core m5-6Y54 8GB/256GB 13.3"" W10 Pro 64",HP
1313.90,20,V1H49LT,NT714HPQ54,"HP Elitebook 1040 G3 Core i5-6200U 8GB/256GB 14"" W10 Pro / W7 Pro",HP
1322.10,20,80MK003ACL,NT000LEN46,"Len NTB Yoga13 Ci7-6500U 8GB 256GB SSD 13.3"" Win 10 Home",Lenovo
1324.30,20,V7S00LA,NT714HPR25,"HP 17-w001la Core i7-6700HQ 16GB/1TB+128GB 17.3"" GeForce 4GB W10 Home",HP
1345.00,18,L727i7Ss825W10P3W,NT011DEL83,"DELL LATITUDE E7270 I7-6600U 12.5""FHD 8GB 256GB SSD WIN 7PRO",Dell
1361.20,8,PT463U-07Q01Y,NT408TOS86,Toshiba Tecra Z40-C1420LA 14in CI7-6600U 8GB 500GB W10PRO,Toshiba
1379.60,12,M86MF,NT011DEL87,"DELL LATITUDE E7470 i7-6600U 14"" 8GB 256GB SSD WIN 7 PRO 3Y",Dell
1396.20,8,20FCA07XCL,NT010LEN43,"Lenovo X1 Carbon Ci5-6200U 4GB 256GB SSD 14"" Windows 10 Pro",Lenovo
1406.90,20,V8M23LT,NT004HPQ81,"HP Elitebook Folio G1 Core m5-6Y57 8GB/256GB 12.5"" W10 Pro",HP
1410.00,5,20FAA06ACL,NT010LEN37,"Len NTB T460s Ci7-6600U 4GB 256GB SSD Win10 Pro 14""",Lenovo
1427.00,13,80Q0000RCL,NT000LEN47,"Len NTB Y700 Ci7-6700HQ 16GB 1TB 17.3"" Win 10 home",Lenovo
1489.30,12,W1C30LT,NT004HPQ80,"HP Spectre Pro x360 G2 Core i7-6600U 8GB/256GB 13.3"" W10 Pro",HP
1569.70,14,20EQA05JCL,NT010LEN44,"Len NTB WS P50 Ci7-6700HQ 8GB 1TB Win 10 Pro 15.6""",Lenovo
1611.80,4,PT16BU-03N02G,NT408TOS83,Toshiba Portege Z20t-C2112LA 12.5in m5-6Y57 8GB 256SSD W10P,Toshiba
1635.40,4,20FCA06PCL,NT010LEN42,Lenovo X1 Carbon Ci7-6600U 8GB 512GB SSD Windows 10 Pro,Lenovo
