          ;       14399;   ;Filtro    ;Inicio                                  ;02072016      ;021220;191.115.26.58  ;OK ;                    ;Inicio de filtrado                                                      
          ;       14399;   ;Filtro    ;tbk_param.txt                           ;02072016      ;021220;191.115.26.58  ;OK ;                    ;Archivo parseado                                                        
          ;       14399;   ;Filtro    ;Terminado                               ;02072016      ;021220;191.115.26.58  ;OK ;                    ;Datos Filtrados con exito                                               
743994048 ;       14399;   ;pago      ;inicio                                  ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;Parseo realizado                                                        
743994048 ;       14399;   ;pago      ;https://webpay.transbank.cl             ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
743994048 ;       14399;   ;pago      ;https://webpay.transbank.cl             ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;Mac generado                                                            
743994048 ;       14399;   ;pago      ;https://webpay.transbank.cl             ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
743994048 ;       14399;   ;pago      ;https://webpay.transbank.cl             ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
743994048 ;       14399;   ;pago      ;https://webpay.transbank.cl             ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;Datos listos para ser enviados                                          
743994048 ;       14399;   ;pago      ;https://webpay.transbank.cl             ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
743994048 ;       14399;   ;pago      ;https://webpay.transbank.cl             ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;Redireccion web                                                         
743994048 ;       14399;   ;pago      ;https://webpay.transbank.cl             ;02072016      ;021220;191.115.26.58  ;OK ;597030906268        ;Todo OK                                                                 
          ;       14424;   ;resultado ;Desencriptando                          ;02072016      ;021408;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       14424;   ;resultado ;Validacion                              ;02072016      ;021408;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       14424;   ;resultado ;63917                                   ;02072016      ;021408;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       14424;   ;resultado ;63917                                   ;02072016      ;021408;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
743994048 ;       14424;   ;transacc  ;743994048                               ;02072016      ;021408;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
743994048 ;       14424;   ;resultado ;logro abrir_conexion                    ;02072016      ;021408;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
