          ;       14716;   ;Filtro    ;Inicio                                  ;10082016      ;100241;190.82.244.28  ;OK ;                    ;Inicio de filtrado                                                      
          ;       14716;   ;Filtro    ;tbk_param.txt                           ;10082016      ;100241;190.82.244.28  ;OK ;                    ;Archivo parseado                                                        
          ;       14716;   ;Filtro    ;Terminado                               ;10082016      ;100241;190.82.244.28  ;OK ;                    ;Datos Filtrados con exito                                               
083776141 ;       14716;   ;pago      ;inicio                                  ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;Parseo realizado                                                        
083776141 ;       14716;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
083776141 ;       14716;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;Mac generado                                                            
083776141 ;       14716;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
083776141 ;       14716;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
083776141 ;       14716;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;Datos listos para ser enviados                                          
083776141 ;       14716;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
083776141 ;       14716;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;Redireccion web                                                         
083776141 ;       14716;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;100241;190.82.244.28  ;OK ;597030906268        ;Todo OK                                                                 
          ;       14726;   ;resultado ;Desencriptando                          ;10082016      ;100326;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       14726;   ;resultado ;Validacion                              ;10082016      ;100326;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       14726;   ;resultado ;65257                                   ;10082016      ;100326;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       14726;   ;resultado ;65257                                   ;10082016      ;100326;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
83776141  ;       14726;   ;transacc  ;83776141                                ;10082016      ;100326;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
83776141  ;       14726;   ;resultado ;logro abrir_conexion                    ;10082016      ;100326;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
83776141  ;       14726;   ;transacc  ;83776141                                ;10082016      ;100326;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
83776141  ;       14726;   ;transacc  ;83776141                                ;10082016      ;100326;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
          ;       14727;   ;check_mac ;                                        ;10082016      ;100326;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
83776141  ;       14726;   ;transacc  ;83776141                                ;10082016      ;100326;200.10.14.34   ;OK ;597030906268        ;Llego ACK del Comercio                                                  
83776141  ;       14726;   ;resultado ;65257                                   ;10082016      ;100326;200.10.14.34   ;OK ;597030906268        ;tienda acepto transaccion                                               
83776141  ;       14726;   ;resultado ;65257                                   ;10082016      ;100326;200.10.14.34   ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
83776141  ;       14726;   ;resultado ;65257                                   ;10082016      ;100326;200.10.14.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;       15664;   ;Filtro    ;Inicio                                  ;10082016      ;103443;179.0.2.1      ;OK ;                    ;Inicio de filtrado                                                      
          ;       15664;   ;Filtro    ;tbk_param.txt                           ;10082016      ;103443;179.0.2.1      ;OK ;                    ;Archivo parseado                                                        
          ;       15664;   ;Filtro    ;Terminado                               ;10082016      ;103443;179.0.2.1      ;OK ;                    ;Datos Filtrados con exito                                               
083968354 ;       15664;   ;pago      ;inicio                                  ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;Parseo realizado                                                        
083968354 ;       15664;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
083968354 ;       15664;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;Mac generado                                                            
083968354 ;       15664;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
083968354 ;       15664;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
083968354 ;       15664;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;Datos listos para ser enviados                                          
083968354 ;       15664;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;Medio 2: Por redireccion                                                
083968354 ;       15664;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;Redireccion web                                                         
083968354 ;       15664;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;103443;179.0.2.1      ;OK ;597030906268        ;Todo OK                                                                 
          ;       16491;   ;Filtro    ;Inicio                                  ;10082016      ;110324;200.111.22.30  ;OK ;                    ;Inicio de filtrado                                                      
          ;       16491;   ;Filtro    ;tbk_param.txt                           ;10082016      ;110324;200.111.22.30  ;OK ;                    ;Archivo parseado                                                        
          ;       16491;   ;Filtro    ;Terminado                               ;10082016      ;110324;200.111.22.30  ;OK ;                    ;Datos Filtrados con exito                                               
084140470 ;       16491;   ;pago      ;inicio                                  ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;Parseo realizado                                                        
084140470 ;       16491;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
084140470 ;       16491;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;Mac generado                                                            
084140470 ;       16491;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
084140470 ;       16491;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
084140470 ;       16491;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;Datos listos para ser enviados                                          
084140470 ;       16491;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
084140470 ;       16491;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;Redireccion web                                                         
084140470 ;       16491;   ;pago      ;https://webpay.transbank.cl             ;10082016      ;110324;200.111.22.30  ;OK ;597030906268        ;Todo OK                                                                 
          ;       16548;   ;resultado ;Desencriptando                          ;10082016      ;110532;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       16548;   ;resultado ;Validacion                              ;10082016      ;110532;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       16548;   ;resultado ;65264                                   ;10082016      ;110532;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       16548;   ;resultado ;65264                                   ;10082016      ;110532;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
84140470  ;       16548;   ;transacc  ;84140470                                ;10082016      ;110532;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
84140470  ;       16548;   ;resultado ;logro abrir_conexion                    ;10082016      ;110532;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
84140470  ;       16548;   ;transacc  ;84140470                                ;10082016      ;110532;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
84140470  ;       16548;   ;transacc  ;84140470                                ;10082016      ;110532;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
