          ;       27067;   ;Filtro    ;Inicio                                  ;17082016      ;013011;186.156.99.194 ;OK ;                    ;Inicio de filtrado                                                      
          ;       27067;   ;Filtro    ;tbk_param.txt                           ;17082016      ;013011;186.156.99.194 ;OK ;                    ;Archivo parseado                                                        
          ;       27067;   ;Filtro    ;Terminado                               ;17082016      ;013011;186.156.99.194 ;OK ;                    ;Datos Filtrados con exito                                               
140821186 ;       27067;   ;pago      ;inicio                                  ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;Parseo realizado                                                        
140821186 ;       27067;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
140821186 ;       27067;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;Mac generado                                                            
140821186 ;       27067;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
140821186 ;       27067;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
140821186 ;       27067;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;Datos listos para ser enviados                                          
140821186 ;       27067;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
140821186 ;       27067;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;Redireccion web                                                         
140821186 ;       27067;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;013011;186.156.99.194 ;OK ;597030906268        ;Todo OK                                                                 
          ;       27443;   ;Filtro    ;Inicio                                  ;17082016      ;015219;186.156.99.194 ;OK ;                    ;Inicio de filtrado                                                      
          ;       27443;   ;Filtro    ;tbk_param.txt                           ;17082016      ;015219;186.156.99.194 ;OK ;                    ;Archivo parseado                                                        
          ;       27443;   ;Filtro    ;Terminado                               ;17082016      ;015219;186.156.99.194 ;OK ;                    ;Datos Filtrados con exito                                               
140953953 ;       27443;   ;pago      ;inicio                                  ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;Parseo realizado                                                        
140953953 ;       27443;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
140953953 ;       27443;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;Mac generado                                                            
140953953 ;       27443;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
140953953 ;       27443;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
140953953 ;       27443;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;Datos listos para ser enviados                                          
140953953 ;       27443;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
140953953 ;       27443;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;Redireccion web                                                         
140953953 ;       27443;   ;pago      ;https://webpay.transbank.cl             ;17082016      ;015219;186.156.99.194 ;OK ;597030906268        ;Todo OK                                                                 
