          ;        6591;   ;Filtro    ;Inicio                                  ;20072016      ;094414;186.103.139.22 ;OK ;                    ;Inicio de filtrado                                                      
          ;        6591;   ;Filtro    ;tbk_param.txt                           ;20072016      ;094414;186.103.139.22 ;OK ;                    ;Archivo parseado                                                        
          ;        6591;   ;Filtro    ;Terminado                               ;20072016      ;094414;186.103.139.22 ;OK ;                    ;Datos Filtrados con exito                                               
902225447 ;        6591;   ;pago      ;inicio                                  ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;Parseo realizado                                                        
902225447 ;        6591;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
902225447 ;        6591;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;Mac generado                                                            
902225447 ;        6591;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
902225447 ;        6591;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
902225447 ;        6591;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;Datos listos para ser enviados                                          
902225447 ;        6591;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
902225447 ;        6591;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;Redireccion web                                                         
902225447 ;        6591;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;094414;186.103.139.22 ;OK ;597030906268        ;Todo OK                                                                 
          ;        6632;   ;resultado ;Desencriptando                          ;20072016      ;094533;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        6632;   ;resultado ;Validacion                              ;20072016      ;094533;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        6632;   ;resultado ;64624                                   ;20072016      ;094533;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        6632;   ;resultado ;64624                                   ;20072016      ;094533;200.10.14.177  ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
902225447 ;        6632;   ;transacc  ;902225447                               ;20072016      ;094533;200.10.14.177  ;OK ;597030906268        ;conectandose al port :(80)                                              
902225447 ;        6632;   ;resultado ;logro abrir_conexion                    ;20072016      ;094533;200.10.14.177  ; 0 ;597030906268        ;Abrio socket para conex-com                                             
902225447 ;        6632;   ;transacc  ;902225447                               ;20072016      ;094533;200.10.14.177  ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
902225447 ;        6632;   ;transacc  ;902225447                               ;20072016      ;094533;200.10.14.177  ;OK ;597030906268        ;mensaje enviado                                                         
          ;        6633;   ;check_mac ;                                        ;20072016      ;094533;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
902225447 ;        6632;   ;transacc  ;902225447                               ;20072016      ;094533;200.10.14.177  ;OK ;597030906268        ;Llego ACK del Comercio                                                  
902225447 ;        6632;   ;resultado ;64624                                   ;20072016      ;094533;200.10.14.177  ;OK ;597030906268        ;tienda acepto transaccion                                               
902225447 ;        6632;   ;resultado ;64624                                   ;20072016      ;094533;200.10.14.177  ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
902225447 ;        6632;   ;resultado ;64624                                   ;20072016      ;094533;200.10.14.177  ;OK ;597030906268        ;Todo OK                                                                 
          ;       13836;   ;Filtro    ;Inicio                                  ;20072016      ;133034;190.164.250.17 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13836;   ;Filtro    ;tbk_param.txt                           ;20072016      ;133034;190.164.250.17 ;OK ;                    ;Archivo parseado                                                        
          ;       13836;   ;Filtro    ;Terminado                               ;20072016      ;133034;190.164.250.17 ;OK ;                    ;Datos Filtrados con exito                                               
903583495 ;       13836;   ;pago      ;inicio                                  ;20072016      ;133034;190.164.250.17 ;OK ;597030906268        ;Parseo realizado                                                        
903583495 ;       13836;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;133034;190.164.250.17 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
903583495 ;       13836;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;133034;190.164.250.17 ;OK ;597030906268        ;Mac generado                                                            
903583495 ;       13836;   ;pago      ;https://webpay.transbank.cl             ;20072016      ;133034;190.164.250.17 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
