ACK; TBK_ORDEN_COMPRA=64002; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=5151000; TBK_CODIGO_AUTORIZACION=922091; TBK_FINAL_NUMERO_TARJETA=8932; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=113520; TBK_ID_SESION=64002; TBK_ID_TRANSACCION=764652307; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=73a5a513561c9314da0a78e5148361cb23bee06fddb7056213dfdb419497beefb251c50edd60c3936c6289fd0bd7ba34359a6971ae310172397fa832932fade3c5667a055c2980cbe2865a119e73031987c3d107634d74ccb89402d604daded4afe58d6253e3f2456b22d4b4f1db1022a58d51ea6c615f1b2a5b8484a9ad6305
ACK; TBK_ORDEN_COMPRA=64010; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4124500; TBK_CODIGO_AUTORIZACION=312674; TBK_FINAL_NUMERO_TARJETA=5000; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=125413; TBK_ID_SESION=64010; TBK_ID_TRANSACCION=765125668; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=7507183a062549c9ec913150ccaa3afce44322e0daca78a710de823a7305fcc9cb8425a69f65cc51f02ffbee85b33e0bf0e3bd3c570fadc827fd42d459c0ba1aef5e26182b3c3e7ed7fcc0a4e8ef90957fe87a388a78c6e097003eaccda0e14f1cca993b027bead742b2b406b87a725491af5f218e2f7bbd24fcc852558347a8
ACK; TBK_ORDEN_COMPRA=64011; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=52382600; TBK_CODIGO_AUTORIZACION=812933; TBK_FINAL_NUMERO_TARJETA=3544; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=130022; TBK_ID_SESION=64011; TBK_ID_TRANSACCION=765162436; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=a18d9a38050a708eb64b18239f77aee0c06c1219b4b5d3a32c61aef07802a7e90af14b5f654ecd489fe10abf90bd19e4a3bdaabdc42ff59e6d44945fca0961ad2d61212da4d01c1d2cbfba414968cd69cbef3015f830b27bf172610b09fa4316ad61041601218b0d861b560d89fcb8f112b490f331e678f89e3927fbde04a03f
ACK; TBK_ORDEN_COMPRA=64012; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-4; TBK_MONTO=13658000; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=0524; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=130039; TBK_ID_SESION=64012; TBK_ID_TRANSACCION=765164262; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=12; TBK_VCI=TSY; TBK_MAC=618b5766798579a6d8b97b717c8751fb869a2687a75240ab6bd6b4818c5c579ac0ddd2088b7c6415378bbc5deba87fb7eedad127df8da2be79efb1af141caae609837581183e46323db4d65a9a198041ab162ccb8f10c64f92affec1e455a1e9f4e6f3512ecdcf6f9b419a57cfd53b81bf0554644677c90187dca62848beda12
ACK; TBK_ORDEN_COMPRA=64013; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-4; TBK_MONTO=13658000; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=0524; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=130700; TBK_ID_SESION=64013; TBK_ID_TRANSACCION=765202434; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=12; TBK_VCI=TSY; TBK_MAC=173d588ea83ff59c29aa5d7e61502c1a5d62389acf42668052312f05afe544f9ad5ffb261cf808e0728ea9a579535d2073a5df53099a7093c7bafc291d1c7d8032b0148a43df57e3aba5f98ccc5263fbf819f4148f7d9ad39ca42ac9b8f2f8e52dd70eb479dca00b5d8477e9e738dcd17c12b1de299a3b43f324742af244bf37
ACK; TBK_ORDEN_COMPRA=64014; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=13658000; TBK_CODIGO_AUTORIZACION=980211; TBK_FINAL_NUMERO_TARJETA=8004; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=131623; TBK_ID_SESION=64014; TBK_ID_TRANSACCION=765258731; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=12; TBK_VCI=TSY; TBK_MAC=2f27d6e1a2dd254dbd2d7eee1a8d808d5065ee5146a73ae1985a580646c88c90550af9615674f1b9afee83b15f8d32151764367ada04bf5363e08cab728ce26bdcb83eb5540ca0c5bea6f611b15db0c8c5254c27978beec5d0de4c1ed0948619d1176c9f9651027040f50dea6534d901ac707777e48f8cac27d61a4bcd6af0d4
ACK; TBK_ORDEN_COMPRA=64015; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=15946000; TBK_CODIGO_AUTORIZACION=067201; TBK_FINAL_NUMERO_TARJETA=5695; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=132141; TBK_ID_SESION=64015; TBK_ID_TRANSACCION=765290879; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=76d16c283a3177bae9d96f8258d7866570066c034cfb17566b2074852dd47352073fac335e0241577f7a667d23c489f5d78af0a6c25447ab99a26541915caab25bdb64d8aeb11072ca9398c695cc8f02039e52db7b7bdf617316360959e2f2fe29710e4813375939335871d2722a510f2c75dc8509c83b0f6a6bfbe5c7b43a89
ACK; TBK_ORDEN_COMPRA=64021; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=797300; TBK_CODIGO_AUTORIZACION=020322; TBK_FINAL_NUMERO_TARJETA=9802; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=142832; TBK_ID_SESION=64021; TBK_ID_TRANSACCION=765691626; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b33aa1571246823413120cfbced11e3aeac5a2b4896789bcb1f19ab9d1d108d75483ba063cac40b09a5b7642610b702809495c292014b231365c38c5da135799431c39f7656a3f82d1726366be03d248b56213d825b6fb3824e521d2e7899634240edf09a27675eaaed517afd652a7e6fb4fc901c91c6b9caed22958c2c4bc53
ACK; TBK_ORDEN_COMPRA=64030; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1594600; TBK_CODIGO_AUTORIZACION=478615; TBK_FINAL_NUMERO_TARJETA=0423; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=161344; TBK_ID_SESION=64030; TBK_ID_TRANSACCION=766323199; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=32199e44b691b41ff130283712a2e39359b97fa9bd6bd663eafd4ef3820b80d365c1603c4a95861abe8331cd2cb0db0f0c2532a0a6bb79985b9ddcd743905e300cec7fb998ccd4759365213243021dd8f6c1f54ed6c10a605949cbfb751ffd325e5b6f7efee108909d028eaf533ea9e87722a3f8c37d289fd326769f76779c07
ACK; TBK_ORDEN_COMPRA=64038; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=63767900; TBK_CODIGO_AUTORIZACION=992660; TBK_FINAL_NUMERO_TARJETA=0366; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=180141; TBK_ID_SESION=64038; TBK_ID_TRANSACCION=766970487; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=a2e284ccc545d1d7648dd6a742485387eb7daf57fca6dfc47b359d53a233bb215219d6e2c5a6dbe7ed9e6bb4bb33033f5eef61db9a73851273c3c515e53e130345de473c6b42eac436245d13643d85f07c2ca6860a6956c3ff3186d4f6f2ed5dfa25cb8eebe89b760444dc5dbb0d67b78f2bed3ca7d32894f4eed03eb1d4256a
ACK; TBK_ORDEN_COMPRA=64041; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1275700; TBK_CODIGO_AUTORIZACION=007595; TBK_FINAL_NUMERO_TARJETA=9797; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=192042; TBK_ID_SESION=64041; TBK_ID_TRANSACCION=767444543; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=65f15b3deeaf590aa86fd0a8f8c74d77546e022dad0a7c2dd864cf0ad6c1a11ac4274083b32712904a63a00e4ec92cd97a553906855022dec8e6015b5839f3f94999d966b66845c1a44b2d52b7eea907ac03e22a18b459db68e5e1bdef53dce402931ae9c3e0424d1fb5c4c6ee9351caff48d2d1176dd2b15befe48bf286bd23
ACK; TBK_ORDEN_COMPRA=64042; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=7654100; TBK_CODIGO_AUTORIZACION=760430; TBK_FINAL_NUMERO_TARJETA=8847; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=203312; TBK_ID_SESION=64042; TBK_ID_TRANSACCION=767879970; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b6a2423e1a6b32b880d71159be29c523b1037f002ca2fcb7efe8681f89cc124d75df284b4db6f1f617147c3a8e1876e4ab34b2f80b901fed549103cc79e09d7f9e5a0f2c8bb2d04631ecc645aa587ee15ceacb722e916fd9609eecc4f458884f26c217931ef0303b12694a7d78e6f4f99ce401f7edff751f40b0e4153f244488
ACK; TBK_ORDEN_COMPRA=64048; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1286400; TBK_CODIGO_AUTORIZACION=001294; TBK_FINAL_NUMERO_TARJETA=3700; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=233633; TBK_ID_SESION=64048; TBK_ID_TRANSACCION=768980151; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=5fc760915d04acf27837a8e62c88a9d11ba096409d8e7fda25964a0542478674f25f835bda3333d42890cd40e74dd201bf9f7c2bd683bc2242a09cfe9711fa25cb488d314a8697c620bc2274ec3dc305fb8560064d1739343fa17510c3a0d602bad2af078319d8b246a6eecf20c8aa8c477a1588fb2dce910abf6d8571345167
