          ;       11139;   ;Filtro    ;Inicio                                  ;04092016      ;142553;200.104.242.14 ;OK ;                    ;Inicio de filtrado                                                      
          ;       11139;   ;Filtro    ;tbk_param.txt                           ;04092016      ;142553;200.104.242.14 ;OK ;                    ;Archivo parseado                                                        
          ;       11139;   ;Filtro    ;Terminado                               ;04092016      ;142553;200.104.242.14 ;OK ;                    ;Datos Filtrados con exito                                               
300995375 ;       11139;   ;pago      ;inicio                                  ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;Parseo realizado                                                        
300995375 ;       11139;   ;pago      ;https://webpay.transbank.cl             ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
300995375 ;       11139;   ;pago      ;https://webpay.transbank.cl             ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;Mac generado                                                            
300995375 ;       11139;   ;pago      ;https://webpay.transbank.cl             ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
300995375 ;       11139;   ;pago      ;https://webpay.transbank.cl             ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
300995375 ;       11139;   ;pago      ;https://webpay.transbank.cl             ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;Datos listos para ser enviados                                          
300995375 ;       11139;   ;pago      ;https://webpay.transbank.cl             ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
300995375 ;       11139;   ;pago      ;https://webpay.transbank.cl             ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;Redireccion web                                                         
300995375 ;       11139;   ;pago      ;https://webpay.transbank.cl             ;04092016      ;142553;200.104.242.14 ;OK ;597030906268        ;Todo OK                                                                 
