          ;        9626;   ;Filtro    ;Inicio                                  ;12072016      ;073527;179.57.40.251  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9626;   ;Filtro    ;tbk_param.txt                           ;12072016      ;073527;179.57.40.251  ;OK ;                    ;Archivo parseado                                                        
          ;        9626;   ;Filtro    ;Terminado                               ;12072016      ;073527;179.57.40.251  ;OK ;                    ;Datos Filtrados con exito                                               
832332800 ;        9626;   ;pago      ;inicio                                  ;12072016      ;073527;179.57.40.251  ;OK ;597030906268        ;Parseo realizado                                                        
832332800 ;        9626;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;073527;179.57.40.251  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
832332800 ;        9626;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;073527;179.57.40.251  ;OK ;597030906268        ;Mac generado                                                            
832332800 ;        9626;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;073527;179.57.40.251  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
832332800 ;        9626;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;073528;179.57.40.251  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
832332800 ;        9626;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;073528;179.57.40.251  ;OK ;597030906268        ;Datos listos para ser enviados                                          
832332800 ;        9626;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;073528;179.57.40.251  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
832332800 ;        9626;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;073528;179.57.40.251  ;OK ;597030906268        ;Redireccion web                                                         
832332800 ;        9626;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;073528;179.57.40.251  ;OK ;597030906268        ;Todo OK                                                                 
          ;       11446;   ;Filtro    ;Inicio                                  ;12072016      ;093809;200.29.95.42   ;OK ;                    ;Inicio de filtrado                                                      
          ;       11446;   ;Filtro    ;tbk_param.txt                           ;12072016      ;093809;200.29.95.42   ;OK ;                    ;Archivo parseado                                                        
          ;       11446;   ;Filtro    ;Terminado                               ;12072016      ;093809;200.29.95.42   ;OK ;                    ;Datos Filtrados con exito                                               
833068945 ;       11446;   ;pago      ;inicio                                  ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;Parseo realizado                                                        
833068945 ;       11446;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
833068945 ;       11446;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;Mac generado                                                            
833068945 ;       11446;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
833068945 ;       11446;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
833068945 ;       11446;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;Datos listos para ser enviados                                          
833068945 ;       11446;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;Medio 2: Por redireccion                                                
833068945 ;       11446;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;Redireccion web                                                         
833068945 ;       11446;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;093809;200.29.95.42   ;OK ;597030906268        ;Todo OK                                                                 
          ;       11565;   ;resultado ;Desencriptando                          ;12072016      ;094031;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       11565;   ;resultado ;Validacion                              ;12072016      ;094031;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       11565;   ;resultado ;64385                                   ;12072016      ;094031;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       11565;   ;resultado ;64385                                   ;12072016      ;094031;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
833068945 ;       11565;   ;transacc  ;833068945                               ;12072016      ;094031;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
833068945 ;       11565;   ;resultado ;logro abrir_conexion                    ;12072016      ;094031;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
833068945 ;       11565;   ;transacc  ;833068945                               ;12072016      ;094031;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
833068945 ;       11565;   ;transacc  ;833068945                               ;12072016      ;094031;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
          ;       11566;   ;check_mac ;                                        ;12072016      ;094031;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
833068945 ;       11565;   ;transacc  ;833068945                               ;12072016      ;094031;200.10.14.34   ;OK ;597030906268        ;Llego ACK del Comercio                                                  
833068945 ;       11565;   ;resultado ;64385                                   ;12072016      ;094031;200.10.14.34   ;OK ;597030906268        ;tienda acepto transaccion                                               
833068945 ;       11565;   ;resultado ;64385                                   ;12072016      ;094031;200.10.14.34   ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
833068945 ;       11565;   ;resultado ;64385                                   ;12072016      ;094031;200.10.14.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;       13216;   ;Filtro    ;Inicio                                  ;12072016      ;103933;186.156.70.116 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13216;   ;Filtro    ;tbk_param.txt                           ;12072016      ;103933;186.156.70.116 ;OK ;                    ;Archivo parseado                                                        
          ;       13216;   ;Filtro    ;Terminado                               ;12072016      ;103933;186.156.70.116 ;OK ;                    ;Datos Filtrados con exito                                               
833437316 ;       13216;   ;pago      ;inicio                                  ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;Parseo realizado                                                        
833437316 ;       13216;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
833437316 ;       13216;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;Mac generado                                                            
833437316 ;       13216;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
833437316 ;       13216;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
833437316 ;       13216;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;Datos listos para ser enviados                                          
833437316 ;       13216;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
833437316 ;       13216;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;Redireccion web                                                         
833437316 ;       13216;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;103933;186.156.70.116 ;OK ;597030906268        ;Todo OK                                                                 
          ;       13384;   ;Filtro    ;Inicio                                  ;12072016      ;104547;186.156.70.116 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13384;   ;Filtro    ;tbk_param.txt                           ;12072016      ;104547;186.156.70.116 ;OK ;                    ;Archivo parseado                                                        
          ;       13384;   ;Filtro    ;Terminado                               ;12072016      ;104547;186.156.70.116 ;OK ;                    ;Datos Filtrados con exito                                               
833474735 ;       13384;   ;pago      ;inicio                                  ;12072016      ;104547;186.156.70.116 ;OK ;597030906268        ;Parseo realizado                                                        
833474735 ;       13384;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;104547;186.156.70.116 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
833474735 ;       13384;   ;pago      ;https://webpay.transbank.cl             ;12072016      ;104547;186.156.70.116 ;OK ;597030906268        ;Mac generado                                                            
