          ;       29787;   ;Filtro    ;Inicio                                  ;09092016      ;101238;190.54.34.34   ;OK ;                    ;Inicio de filtrado                                                      
          ;       29787;   ;Filtro    ;tbk_param.txt                           ;09092016      ;101238;190.54.34.34   ;OK ;                    ;Archivo parseado                                                        
          ;       29787;   ;Filtro    ;Terminado                               ;09092016      ;101238;190.54.34.34   ;OK ;                    ;Datos Filtrados con exito                                               
342675819 ;       29787;   ;pago      ;inicio                                  ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;Parseo realizado                                                        
342675819 ;       29787;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
342675819 ;       29787;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;Mac generado                                                            
342675819 ;       29787;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
342675819 ;       29787;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
342675819 ;       29787;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;Datos listos para ser enviados                                          
342675819 ;       29787;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;Medio 2: Por redireccion                                                
342675819 ;       29787;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;Redireccion web                                                         
342675819 ;       29787;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;101238;190.54.34.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;       29813;   ;resultado ;Desencriptando                          ;09092016      ;101408;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       29813;   ;resultado ;Validacion                              ;09092016      ;101408;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       29813;   ;resultado ;66172                                   ;09092016      ;101408;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       29813;   ;resultado ;66172                                   ;09092016      ;101408;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
342675819 ;       29813;   ;transacc  ;342675819                               ;09092016      ;101408;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
342675819 ;       29813;   ;resultado ;logro abrir_conexion                    ;09092016      ;101408;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
342675819 ;       29813;   ;transacc  ;342675819                               ;09092016      ;101408;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
342675819 ;       29813;   ;transacc  ;342675819                               ;09092016      ;101408;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
          ;       29815;   ;check_mac ;                                        ;09092016      ;101409;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
342675819 ;       29813;   ;transacc  ;342675819                               ;09092016      ;101409;200.10.14.34   ;OK ;597030906268        ;Llego ACK del Comercio                                                  
342675819 ;       29813;   ;resultado ;66172                                   ;09092016      ;101409;200.10.14.34   ;OK ;597030906268        ;tienda acepto transaccion                                               
342675819 ;       29813;   ;resultado ;66172                                   ;09092016      ;101409;200.10.14.34   ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
342675819 ;       29813;   ;resultado ;66172                                   ;09092016      ;101409;200.10.14.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;       14083;   ;Filtro    ;Inicio                                  ;09092016      ;150354;64.76.136.2    ;OK ;                    ;Inicio de filtrado                                                      
          ;       14083;   ;Filtro    ;tbk_param.txt                           ;09092016      ;150354;64.76.136.2    ;OK ;                    ;Archivo parseado                                                        
          ;       14083;   ;Filtro    ;Terminado                               ;09092016      ;150354;64.76.136.2    ;OK ;                    ;Datos Filtrados con exito                                               
344423410 ;       14083;   ;pago      ;inicio                                  ;09092016      ;150354;64.76.136.2    ;OK ;597030906268        ;Parseo realizado                                                        
344423410 ;       14083;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;150354;64.76.136.2    ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
344423410 ;       14083;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;150354;64.76.136.2    ;OK ;597030906268        ;Mac generado                                                            
344423410 ;       14083;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;150354;64.76.136.2    ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
344423410 ;       14083;   ;pago      ;https://webpay.transbank.cl             ;09092016      ;150354;64.76.136.2    ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
