          ;       10980;   ;Filtro    ;Inicio                                  ;08082016      ;010817;200.73.248.68  ;OK ;                    ;Inicio de filtrado                                                      
          ;       10980;   ;Filtro    ;tbk_param.txt                           ;08082016      ;010817;200.73.248.68  ;OK ;                    ;Archivo parseado                                                        
          ;       10980;   ;Filtro    ;Terminado                               ;08082016      ;010817;200.73.248.68  ;OK ;                    ;Datos Filtrados con exito                                               
063289781 ;       10980;   ;pago      ;inicio                                  ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;Parseo realizado                                                        
063289781 ;       10980;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
063289781 ;       10980;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;Mac generado                                                            
063289781 ;       10980;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
063289781 ;       10980;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
063289781 ;       10980;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;Datos listos para ser enviados                                          
063289781 ;       10980;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
063289781 ;       10980;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;Redireccion web                                                         
063289781 ;       10980;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;010817;200.73.248.68  ;OK ;597030906268        ;Todo OK                                                                 
          ;       11300;   ;Filtro    ;Inicio                                  ;08082016      ;012618;200.73.248.68  ;OK ;                    ;Inicio de filtrado                                                      
          ;       11300;   ;Filtro    ;tbk_param.txt                           ;08082016      ;012618;200.73.248.68  ;OK ;                    ;Archivo parseado                                                        
          ;       11300;   ;Filtro    ;Terminado                               ;08082016      ;012618;200.73.248.68  ;OK ;                    ;Datos Filtrados con exito                                               
063397816 ;       11300;   ;pago      ;inicio                                  ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;Parseo realizado                                                        
063397816 ;       11300;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
063397816 ;       11300;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;Mac generado                                                            
063397816 ;       11300;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
063397816 ;       11300;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
063397816 ;       11300;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;Datos listos para ser enviados                                          
063397816 ;       11300;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
063397816 ;       11300;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;Redireccion web                                                         
063397816 ;       11300;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;012618;200.73.248.68  ;OK ;597030906268        ;Todo OK                                                                 
          ;       11340;   ;resultado ;Desencriptando                          ;08082016      ;012814;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       11340;   ;resultado ;Validacion                              ;08082016      ;012814;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       11340;   ;resultado ;65179                                   ;08082016      ;012814;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       11340;   ;resultado ;65179                                   ;08082016      ;012814;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
63397816  ;       11340;   ;transacc  ;63397816                                ;08082016      ;012814;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
63397816  ;       11340;   ;resultado ;logro abrir_conexion                    ;08082016      ;012814;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
63397816  ;       11340;   ;transacc  ;63397816                                ;08082016      ;012814;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
63397816  ;       11340;   ;transacc  ;63397816                                ;08082016      ;012814;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
          ;       11341;   ;check_mac ;                                        ;08082016      ;012814;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
63397816  ;       11340;   ;transacc  ;63397816                                ;08082016      ;012814;200.10.14.34   ;OK ;597030906268        ;Llego ACK del Comercio                                                  
63397816  ;       11340;   ;resultado ;65179                                   ;08082016      ;012814;200.10.14.34   ;OK ;597030906268        ;tienda acepto transaccion                                               
63397816  ;       11340;   ;resultado ;65179                                   ;08082016      ;012814;200.10.14.34   ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
63397816  ;       11340;   ;resultado ;65179                                   ;08082016      ;012814;200.10.14.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;       17391;   ;Filtro    ;Inicio                                  ;08082016      ;092807;200.9.3.65     ;OK ;                    ;Inicio de filtrado                                                      
          ;       17391;   ;Filtro    ;tbk_param.txt                           ;08082016      ;092807;200.9.3.65     ;OK ;                    ;Archivo parseado                                                        
          ;       17391;   ;Filtro    ;Terminado                               ;08082016      ;092807;200.9.3.65     ;OK ;                    ;Datos Filtrados con exito                                               
066288757 ;       17391;   ;pago      ;inicio                                  ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;Parseo realizado                                                        
066288757 ;       17391;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
066288757 ;       17391;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;Mac generado                                                            
066288757 ;       17391;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
066288757 ;       17391;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
066288757 ;       17391;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;Datos listos para ser enviados                                          
066288757 ;       17391;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;Medio 2: Por redireccion                                                
066288757 ;       17391;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;Redireccion web                                                         
066288757 ;       17391;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;092807;200.9.3.65     ;OK ;597030906268        ;Todo OK                                                                 
          ;       17456;   ;resultado ;Desencriptando                          ;08082016      ;093035;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       17456;   ;resultado ;Validacion                              ;08082016      ;093035;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       17456;   ;resultado ;65181                                   ;08082016      ;093035;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;       17456;   ;resultado ;65181                                   ;08082016      ;093035;200.10.14.177  ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
66288757  ;       17456;   ;transacc  ;66288757                                ;08082016      ;093035;200.10.14.177  ;OK ;597030906268        ;conectandose al port :(80)                                              
66288757  ;       17456;   ;resultado ;logro abrir_conexion                    ;08082016      ;093035;200.10.14.177  ; 0 ;597030906268        ;Abrio socket para conex-com                                             
66288757  ;       17456;   ;transacc  ;66288757                                ;08082016      ;093035;200.10.14.177  ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
66288757  ;       17456;   ;transacc  ;66288757                                ;08082016      ;093035;200.10.14.177  ;OK ;597030906268        ;mensaje enviado                                                         
          ;       17457;   ;check_mac ;                                        ;08082016      ;093036;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
66288757  ;       17456;   ;transacc  ;66288757                                ;08082016      ;093036;200.10.14.177  ;OK ;597030906268        ;Llego ACK del Comercio                                                  
66288757  ;       17456;   ;resultado ;65181                                   ;08082016      ;093036;200.10.14.177  ;OK ;597030906268        ;tienda acepto transaccion                                               
66288757  ;       17456;   ;resultado ;65181                                   ;08082016      ;093036;200.10.14.177  ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
66288757  ;       17456;   ;resultado ;65181                                   ;08082016      ;093036;200.10.14.177  ;OK ;597030906268        ;Todo OK                                                                 
          ;       20579;   ;Filtro    ;Inicio                                  ;08082016      ;112441;200.27.99.99   ;OK ;                    ;Inicio de filtrado                                                      
          ;       20579;   ;Filtro    ;tbk_param.txt                           ;08082016      ;112441;200.27.99.99   ;OK ;                    ;Archivo parseado                                                        
          ;       20579;   ;Filtro    ;Terminado                               ;08082016      ;112441;200.27.99.99   ;OK ;                    ;Datos Filtrados con exito                                               
066988159 ;       20579;   ;pago      ;inicio                                  ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;Parseo realizado                                                        
066988159 ;       20579;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
066988159 ;       20579;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;Mac generado                                                            
066988159 ;       20579;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
066988159 ;       20579;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
066988159 ;       20579;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;Datos listos para ser enviados                                          
066988159 ;       20579;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;Medio 2: Por redireccion                                                
066988159 ;       20579;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;Redireccion web                                                         
066988159 ;       20579;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112441;200.27.99.99   ;OK ;597030906268        ;Todo OK                                                                 
          ;       20616;   ;resultado ;Desencriptando                          ;08082016      ;112532;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       20616;   ;resultado ;Validacion                              ;08082016      ;112532;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       20616;   ;resultado ;65185                                   ;08082016      ;112532;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;       20616;   ;resultado ;65185                                   ;08082016      ;112532;200.10.14.177  ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
66988159  ;       20616;   ;transacc  ;66988159                                ;08082016      ;112532;200.10.14.177  ;OK ;597030906268        ;conectandose al port :(80)                                              
66988159  ;       20616;   ;resultado ;logro abrir_conexion                    ;08082016      ;112532;200.10.14.177  ; 0 ;597030906268        ;Abrio socket para conex-com                                             
66988159  ;       20616;   ;transacc  ;66988159                                ;08082016      ;112532;200.10.14.177  ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
66988159  ;       20616;   ;transacc  ;66988159                                ;08082016      ;112532;200.10.14.177  ;OK ;597030906268        ;mensaje enviado                                                         
          ;       20617;   ;check_mac ;                                        ;08082016      ;112532;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
66988159  ;       20616;   ;transacc  ;66988159                                ;08082016      ;112532;200.10.14.177  ;OK ;597030906268        ;Llego ACK del Comercio                                                  
66988159  ;       20616;   ;resultado ;65185                                   ;08082016      ;112532;200.10.14.177  ;OK ;597030906268        ;tienda acepto transaccion                                               
66988159  ;       20616;   ;resultado ;65185                                   ;08082016      ;112532;200.10.14.177  ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
66988159  ;       20616;   ;resultado ;65185                                   ;08082016      ;112532;200.10.14.177  ;OK ;597030906268        ;Todo OK                                                                 
          ;       20618;   ;Filtro    ;Inicio                                  ;08082016      ;112542;146.155.17.107 ;OK ;                    ;Inicio de filtrado                                                      
          ;       20618;   ;Filtro    ;tbk_param.txt                           ;08082016      ;112542;146.155.17.107 ;OK ;                    ;Archivo parseado                                                        
          ;       20618;   ;Filtro    ;Terminado                               ;08082016      ;112542;146.155.17.107 ;OK ;                    ;Datos Filtrados con exito                                               
066994218 ;       20618;   ;pago      ;inicio                                  ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;Parseo realizado                                                        
066994218 ;       20618;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
066994218 ;       20618;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;Mac generado                                                            
066994218 ;       20618;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
066994218 ;       20618;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
066994218 ;       20618;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;Datos listos para ser enviados                                          
066994218 ;       20618;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
066994218 ;       20618;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;Redireccion web                                                         
066994218 ;       20618;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;112542;146.155.17.107 ;OK ;597030906268        ;Todo OK                                                                 
          ;       20879;   ;Filtro    ;Inicio                                  ;08082016      ;113529;146.155.17.237 ;OK ;                    ;Inicio de filtrado                                                      
          ;       20879;   ;Filtro    ;tbk_param.txt                           ;08082016      ;113529;146.155.17.237 ;OK ;                    ;Archivo parseado                                                        
          ;       20879;   ;Filtro    ;Terminado                               ;08082016      ;113529;146.155.17.237 ;OK ;                    ;Datos Filtrados con exito                                               
067052981 ;       20879;   ;pago      ;inicio                                  ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;Parseo realizado                                                        
067052981 ;       20879;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
067052981 ;       20879;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;Mac generado                                                            
067052981 ;       20879;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
067052981 ;       20879;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
067052981 ;       20879;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;Datos listos para ser enviados                                          
067052981 ;       20879;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
067052981 ;       20879;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;Redireccion web                                                         
067052981 ;       20879;   ;pago      ;https://webpay.transbank.cl             ;08082016      ;113529;146.155.17.237 ;OK ;597030906268        ;Todo OK                                                                 
          ;       20892;   ;resultado ;Desencriptando                          ;08082016      ;113621;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       20892;   ;resultado ;Validacion                              ;08082016      ;113621;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       20892;   ;resultado ;65187                                   ;08082016      ;113621;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       20892;   ;resultado ;65187                                   ;08082016      ;113621;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
67052981  ;       20892;   ;transacc  ;67052981                                ;08082016      ;113621;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
67052981  ;       20892;   ;resultado ;logro abrir_conexion                    ;08082016      ;113621;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
